Time,UUID,RSSI,
20220321 06:27:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64,
20220321 06:27:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20220321 06:27:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20220321 06:27:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20220321 06:27:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,
20220321 06:27:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-78,
20220321 06:27:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20220321 06:27:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62,
20220321 06:27:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63,
20220321 06:27:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20220321 06:27:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73,
20220321 06:27:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-74,
20220321 06:27:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20220321 06:27:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-90,
20220321 06:27:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20220321 06:27:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20220321 06:27:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20220321 06:27:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20220321 06:27:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20220321 06:27:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 06:27:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20220321 06:27:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-66,
20220321 06:27:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20220321 06:27:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
20220321 06:27:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20220321 06:27:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 06:27:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20220321 06:27:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-81,
20220321 06:27:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20220321 06:27:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20220321 06:27:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,
