Time,UUID,RSSI,
20220321 02:25:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20220321 02:25:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20220321 02:25:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20220321 02:25:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20220321 02:25:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20220321 02:25:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-78,
20220321 02:25:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-89,
20220321 02:25:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-59,
20220321 02:25:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20220321 02:25:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20220321 02:25:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20220321 02:25:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-84,
20220321 02:25:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-84,
20220321 02:25:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-89,
20220321 02:25:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20220321 02:25:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20220321 02:25:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20220321 02:25:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20220321 02:25:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-80,
20220321 02:25:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-81,
20220321 02:25:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-91,
20220321 02:25:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20220321 02:25:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20220321 02:25:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68,
20220321 02:25:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70,
20220321 02:25:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20220321 02:25:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20220321 02:25:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20220321 02:25:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-60,
20220321 02:25:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20220321 02:25:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20220321 02:25:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20220321 02:25:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20220321 02:25:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20220321 02:25:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20220321 02:25:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20220321 02:25:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20220321 02:25:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70,
20220321 02:25:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20220321 02:25:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20220321 02:25:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20220321 02:25:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20220321 02:25:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20220321 02:25:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20220321 02:25:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68,
20220321 02:25:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20220321 02:25:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
