Time,UUID,RSSI,
20220321 05:47:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-52,
20220321 05:47:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 05:47:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-65,
20220321 05:47:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-78,
20220321 05:47:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,
20220321 05:47:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-84,
20220321 05:47:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-86,
20220321 05:47:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-46,
20220321 05:47:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57,
20220321 05:47:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-65,
20220321 05:47:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20220321 05:47:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,
20220321 05:47:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-84,
20220321 05:47:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-86,
20220321 05:47:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-49,
20220321 05:47:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57,
20220321 05:47:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63,
20220321 05:47:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-66,
20220321 05:47:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20220321 05:47:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 05:47:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-76,
20220321 05:48:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-54,
20220321 05:48:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-64,
20220321 05:48:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-65,
20220321 05:48:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20220321 05:48:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20220321 05:48:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79,
20220321 05:48:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-86,
20220321 05:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-51,
20220321 05:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 05:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20220321 05:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-66,
20220321 05:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20220321 05:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 05:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-81,
20220321 05:48:05,4152554e-f99b-4a3b-86d0-947070693a78,-101,
20220321 05:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-49,
20220321 05:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57,
20220321 05:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 05:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-66,
20220321 05:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20220321 05:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77,
20220321 05:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-81,
20220321 05:48:10,4152554e-f99b-4a3b-86d0-947070693a78,-101,
20220321 05:48:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-52,
