Time,UUID,RSSI,
20220321 05:47:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20220321 05:47:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 05:47:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20220321 05:47:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73,
20220321 05:47:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20220321 05:47:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-81,
20220321 05:47:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-90,
20220321 05:47:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20220321 05:47:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73,
20220321 05:47:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20220321 05:47:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20220321 05:47:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20220321 05:47:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81,
20220321 05:47:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-84,
20220321 05:47:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-54,
20220321 05:47:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20220321 05:47:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20220321 05:47:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20220321 05:47:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20220321 05:47:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20220321 05:47:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-84,
20220321 05:47:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-55,
20220321 05:47:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20220321 05:47:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20220321 05:47:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20220321 05:47:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20220321 05:47:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20220321 05:47:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76,
20220321 05:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59,
20220321 05:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
