Time,UUID,RSSI,
20220321 04:49:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-50,
20220321 04:49:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59,
20220321 04:49:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20220321 04:49:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20220321 04:49:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20220321 04:49:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 04:49:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81,
20220321 04:49:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-47,
20220321 04:49:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20220321 04:49:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20220321 04:49:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20220321 04:49:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20220321 04:49:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20220321 04:49:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-94,
20220321 04:50:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-49,
20220321 04:50:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20220321 04:50:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20220321 04:50:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-72,
20220321 04:50:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20220321 04:50:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-82,
20220321 04:50:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-89,
20220321 04:50:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-47,
20220321 04:50:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59,
20220321 04:50:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20220321 04:50:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 04:50:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
