Time,UUID,RSSI,
20220321 06:03:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-57,
20220321 06:03:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63,
20220321 06:03:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 06:03:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 06:03:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20220321 06:03:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20220321 06:03:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,
20220321 06:03:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-64,
20220321 06:03:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
20220321 06:03:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20220321 06:03:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20220321 06:03:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20220321 06:03:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20220321 06:03:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-83,
20220321 06:03:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20220321 06:03:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-72,
20220321 06:03:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20220321 06:03:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20220321 06:03:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-78,
20220321 06:03:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-78,
20220321 06:03:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-84,
20220321 06:03:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-60,
20220321 06:03:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-65,
20220321 06:03:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
20220321 06:03:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
