Time,UUID,RSSI,
20220321 06:27:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-60,
20220321 06:27:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64,
20220321 06:27:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20220321 06:27:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20220321 06:27:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76,
20220321 06:27:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-80,
20220321 06:27:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-87,
20220321 06:27:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220321 06:27:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64,
20220321 06:27:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-65,
20220321 06:27:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20220321 06:27:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 06:27:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20220321 06:27:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76,
20220321 06:27:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-62,
20220321 06:27:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20220321 06:27:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20220321 06:27:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20220321 06:27:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-75,
20220321 06:27:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-81,
20220321 06:27:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-82,
20220321 06:27:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-60,
20220321 06:27:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-61,
20220321 06:27:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20220321 06:27:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-75,
20220321 06:27:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20220321 06:27:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-81,
20220321 06:27:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-82,
20220321 06:27:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-61,
20220321 06:27:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20220321 06:27:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-66,
20220321 06:27:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73,
20220321 06:27:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77,
