label,Beacon_1,Beacon_2,Beacon_5,Beacon_6
1,0.594202899,0.710144928,0.275362319,0.405797101
1,0.594202899,0.739130435,0.275362319,0.405797101
1,0.507246377,0.739130435,0.275362319,0.376811594
1,0.507246377,0.739130435,0.449275362,0.376811594
1,0.507246377,0.739130435,0.420289855,0.449275362
1,0.507246377,0.695652174,0.420289855,0.449275362
1,0.507246377,0.695652174,0.420289855,0.449275362
1,0.463768116,0.710144928,0.405797101,0.391304348
1,0.463768116,0.724637681,0.405797101,0.420289855
1,0.463768116,0.724637681,0.405797101,0.420289855
1,0.463768116,0.724637681,0.449275362,0.420289855
1,0.52173913,0.695652174,0.420289855,0.434782609
1,0.550724638,0.710144928,0.289855072,0.434782609
1,0.550724638,0.710144928,0.289855072,0.434782609
1,0.579710145,0.710144928,0.289855072,0.405797101
1,0.579710145,0.710144928,0.289855072,0.391304348
1,0.579710145,0.710144928,0.289855072,0.391304348
1,0.550724638,0.710144928,0.289855072,0.391304348
1,0.507246377,0.68115942,0.405797101,0.347826087
1,0.463768116,0.695652174,0.289855072,0.347826087
1,0.463768116,0.695652174,0.289855072,0.347826087
1,0.463768116,0.695652174,0.376811594,0.391304348
1,0.463768116,0.695652174,0.449275362,0.391304348
1,0.463768116,0.695652174,0.449275362,0.347826087
1,0.449275362,0.695652174,0.449275362,0.347826087
1,0.449275362,0.695652174,0.434782609,0.376811594
1,0.449275362,0.753623188,0.202898551,0.376811594
1,0.449275362,0.753623188,0.202898551,0.376811594
1,0.449275362,0.782608696,0.202898551,0.376811594
1,0.449275362,0.782608696,0.202898551,0.231884058
1,0.449275362,0.84057971,0.188405797,0.231884058
1,0.437198068,0.84057971,0.188405797,0.231884058
1,0.425120773,0.84057971,0.115942029,0.231884058
1,0.413043478,0.782608696,0.115942029,0.231884058
1,0.400966184,0.811594203,0.188405797,0.231884058
1,0.388888889,0.811594203,0.188405797,0.231884058
1,0.376811594,0.811594203,0.202898551,0.231884058
1,0.3647343,0.811594203,0.202898551,0.217391304
1,0.352657005,0.811594203,0.202898551,0.202898551
1,0.34057971,0.811594203,0.202898551,0.15942029
1,0.328502415,0.811594203,0.202898551,0.15942029
1,0.316425121,0.768115942,0.144927536,0.15942029
1,0.304347826,0.782608696,0.144927536,0.15942029
1,0.31884058,0.782608696,0.144927536,0.15942029
1,0.31884058,0.782608696,0.144927536,0.15942029
1,0.31884058,0.782608696,0.173913043,0.15942029
1,0.31884058,0.782608696,0.173913043,0.188405797
1,0.333333333,0.782608696,0.173913043,0.217391304
1,0.333333333,0.797101449,0.173913043,0.217391304
1,0.333333333,0.782608696,0.057971014,0.217391304
1,0.333333333,0.768115942,0.057971014,0.217391304
1,0.333333333,0.768115942,0.057971014,0.202898551
1,0.333333333,0.768115942,0.057971014,0.289855072
1,0.333333333,0.884057971,0.057971014,0.289855072
1,0.333333333,0.884057971,0.057971014,0.289855072
1,0.463768116,0.884057971,0.173913043,0.289855072
1,0.31884058,0.884057971,0.188405797,0.289855072
1,0.31884058,0.768115942,0.188405797,0.289855072
1,0.304347826,0.869565217,0.202898551,0.289855072
1,0.304347826,0.869565217,0.202898551,0.246376812
1,0.289855072,0.797101449,0.188405797,0.246376812
