Time,UUID,RSSI,
20220321 04:35:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-47,
20220321 04:35:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20220321 04:35:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-60,
20220321 04:35:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20220321 04:35:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20220321 04:35:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20220321 04:35:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20220321 04:35:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-47,
20220321 04:35:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20220321 04:35:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-60,
20220321 04:35:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20220321 04:35:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20220321 04:35:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20220321 04:35:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20220321 04:35:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-47,
20220321 04:35:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20220321 04:35:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20220321 04:35:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20220321 04:35:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20220321 04:35:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-80,
20220321 04:35:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20220321 04:35:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-47,
20220321 04:35:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-50,
20220321 04:35:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20220321 04:35:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20220321 04:35:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20220321 04:35:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-80,
20220321 04:35:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20220321 04:35:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-52,
20220321 04:35:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20220321 04:35:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59,
20220321 04:35:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20220321 04:35:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20220321 04:35:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20220321 04:35:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88,
20220321 04:35:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57,
20220321 04:35:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20220321 04:35:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59,
20220321 04:35:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20220321 04:35:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20220321 04:35:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20220321 04:35:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88,
20220321 04:35:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57,
20220321 04:35:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20220321 04:35:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59,
20220321 04:35:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20220321 04:35:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67,
20220321 04:35:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20220321 04:35:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88,
20220321 04:35:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-52,
20220321 04:35:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20220321 04:35:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20220321 04:35:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220321 04:35:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-67,
20220321 04:35:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67,
20220321 04:35:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88,
20220321 04:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-48,
20220321 04:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20220321 04:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20220321 04:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220321 04:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20220321 04:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20220321 04:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83,
20220321 04:35:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-48,
20220321 04:35:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20220321 04:35:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220321 04:35:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
