Time,UUID,RSSI,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20220321 01:46:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20220321 01:46:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20220321 01:46:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 01:46:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,
20220321 01:46:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 01:46:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 01:46:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20220321 01:46:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20220321 01:46:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20220321 01:46:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 01:46:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,
20220321 01:46:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 01:46:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20220321 01:46:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20220321 01:46:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20220321 01:46:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-55,
20220321 01:46:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20220321 01:46:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20220321 01:46:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,
20220321 01:46:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20220321 01:46:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20220321 01:46:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20220321 01:46:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,
20220321 01:46:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20220321 01:46:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,
20220321 01:46:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20220321 01:46:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20220321 01:46:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20220321 01:46:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20220321 01:46:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,
20220321 01:46:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20220321 01:46:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,
20220321 01:46:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20220321 01:46:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20220321 01:46:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20220321 01:46:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20220321 01:46:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,
20220321 01:46:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20220321 01:46:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,
20220321 01:46:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20220321 01:46:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20220321 01:46:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-72,
20220321 01:46:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20220321 01:46:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,
20220321 01:46:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20220321 01:46:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,
20220321 01:46:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
