Time,UUID,RSSI,
20220321 07:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-41,
20220321 07:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 07:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20220321 07:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20220321 07:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20220321 07:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74,
20220321 07:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20220321 07:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-45,
20220321 07:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20220321 07:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20220321 07:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20220321 07:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20220321 07:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-80,
20220321 07:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20220321 07:30:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-45,
20220321 07:30:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20220321 07:30:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20220321 07:30:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20220321 07:30:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20220321 07:30:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20220321 07:30:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-80,
20220321 07:31:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-44,
20220321 07:31:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20220321 07:31:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20220321 07:31:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20220321 07:31:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 07:31:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20220321 07:31:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-80,
20220321 07:31:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-44,
20220321 07:31:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20220321 07:31:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,
20220321 07:31:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20220321 07:31:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 07:31:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-74,
20220321 07:31:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-80,
20220321 07:31:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-44,
20220321 07:31:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-60,
20220321 07:31:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-64,
20220321 07:31:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 07:31:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20220321 07:31:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-75,
20220321 07:31:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-80,
20220321 07:31:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-44,
20220321 07:31:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20220321 07:31:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-64,
20220321 07:31:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 07:31:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20220321 07:31:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-75,
20220321 07:31:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-80,
20220321 07:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-44,
20220321 07:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20220321 07:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-64,
20220321 07:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 07:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20220321 07:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-75,
20220321 07:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-80,
20220321 07:31:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-44,
20220321 07:31:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20220321 07:31:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20220321 07:31:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 07:31:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-77,
20220321 07:31:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20220321 07:31:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-84,
20220321 07:31:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-39,
20220321 07:31:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-60,
20220321 07:31:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20220321 07:31:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 07:31:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20220321 07:31:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20220321 07:31:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20220321 07:31:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-38,
20220321 07:31:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20220321 07:31:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,
20220321 07:31:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 07:31:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20220321 07:31:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20220321 07:31:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20220321 07:31:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-44,
20220321 07:31:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20220321 07:31:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20220321 07:31:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20220321 07:31:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20220321 07:31:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-92,
20220321 07:31:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-92,
20220321 07:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-44,
20220321 07:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-60,
20220321 07:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20220321 07:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20220321 07:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20220321 07:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20220321 07:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-92,
20220321 07:31:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-47,
20220321 07:31:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-60,
20220321 07:31:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20220321 07:31:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20220321 07:31:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 07:31:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20220321 07:31:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-92,
20220321 07:31:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-47,
20220321 07:31:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-60,
20220321 07:31:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20220321 07:31:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
