Time,UUID,RSSI,
20220321 07:02:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-57,
20220321 07:02:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20220321 07:02:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20220321 07:02:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-78,
20220321 07:02:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79,
20220321 07:02:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-80,
20220321 07:02:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-57,
20220321 07:02:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20220321 07:02:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20220321 07:02:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-78,
20220321 07:02:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79,
20220321 07:02:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-80,
20220321 07:02:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-54,
20220321 07:02:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20220321 07:02:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20220321 07:02:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20220321 07:02:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,
20220321 07:02:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77,
20220321 07:02:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-55,
20220321 07:02:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20220321 07:02:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20220321 07:02:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20220321 07:02:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20220321 07:02:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77,
20220321 07:02:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-55,
20220321 07:02:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20220321 07:02:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20220321 07:02:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 07:02:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20220321 07:02:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77,
20220321 07:02:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-55,
20220321 07:02:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68,
20220321 07:02:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20220321 07:02:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20220321 07:02:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 07:02:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-78,
20220321 07:02:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-55,
20220321 07:02:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68,
20220321 07:02:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20220321 07:02:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20220321 07:02:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 07:02:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20220321 07:02:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,
20220321 07:02:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-55,
20220321 07:02:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20220321 07:02:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20220321 07:02:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20220321 07:02:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 07:02:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20220321 07:02:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,
20220321 07:02:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-55,
20220321 07:02:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20220321 07:02:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20220321 07:02:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 07:02:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20220321 07:02:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20220321 07:02:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,
20220321 07:02:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-55,
20220321 07:02:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20220321 07:02:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 07:02:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20220321 07:02:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20220321 07:02:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,
20220321 07:02:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-88,
20220321 07:02:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-56,
