Time,UUID,RSSI
20220321 06:19:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72
20220321 06:19:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76
20220321 06:19:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79
20220321 06:19:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80
20220321 06:19:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-60
20220321 06:19:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66
20220321 06:19:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71
20220321 06:19:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72
20220321 06:19:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76
20220321 06:19:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79
20220321 06:19:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80
20220321 06:19:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66
20220321 06:19:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67
20220321 06:19:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72
20220321 06:19:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73
20220321 06:19:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75
20220321 06:19:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
20220321 06:19:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83
20220321 06:19:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63
20220321 06:19:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66
20220321 06:19:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68
20220321 06:19:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72
20220321 06:19:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73
20220321 06:19:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
20220321 06:19:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83
20220321 06:19:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60
20220321 06:19:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63
20220321 06:19:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:19:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66
20220321 06:19:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68
20220321 06:19:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 06:19:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73
20220321 06:19:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-56
20220321 06:19:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63
20220321 06:19:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66
20220321 06:19:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66
20220321 06:19:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68
20220321 06:19:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78
20220321 06:19:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-83
20220321 06:19:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57
20220321 06:19:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63
20220321 06:19:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66
20220321 06:19:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67
20220321 06:19:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68
20220321 06:19:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68
20220321 06:19:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-76
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-61
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-76
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79
20220321 06:19:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57
20220321 06:19:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-61
20220321 06:19:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65
20220321 06:19:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67
20220321 06:19:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68
20220321 06:19:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79
20220321 06:19:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82
20220321 06:19:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57
20220321 06:19:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-62
20220321 06:19:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64
20220321 06:19:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65
20220321 06:19:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67
20220321 06:19:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68
20220321 06:19:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82
20220321 06:19:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-62
20220321 06:19:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:19:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64
20220321 06:19:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65
20220321 06:19:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 06:19:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-78
20220321 06:19:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82
20220321 06:20:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:20:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65
20220321 06:20:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 06:20:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20220321 06:20:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-78
20220321 06:20:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80
20220321 06:20:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82
20220321 06:20:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56
20220321 06:20:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:20:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 06:20:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70
20220321 06:20:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
20220321 06:20:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20220321 06:20:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80
20220321 06:20:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-55
20220321 06:20:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 06:20:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 06:20:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
20220321 06:20:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20220321 06:20:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80
20220321 06:20:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84
20220321 06:20:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-55
20220321 06:20:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-63
20220321 06:20:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 06:20:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 06:20:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70
20220321 06:20:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20220321 06:20:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-55
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-63
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80
20220321 06:20:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63
20220321 06:20:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-63
20220321 06:20:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63
20220321 06:20:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65
20220321 06:20:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70
20220321 06:20:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80
20220321 06:20:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82
20220321 06:20:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-62
20220321 06:20:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-63
20220321 06:20:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63
20220321 06:20:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65
20220321 06:20:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70
20220321 06:20:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78
20220321 06:20:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82
20220321 06:20:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-61
20220321 06:20:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63
20220321 06:20:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64
20220321 06:20:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65
20220321 06:20:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-65
20220321 06:20:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 06:20:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82
20220321 06:20:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62
20220321 06:20:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63
20220321 06:20:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65
20220321 06:20:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-65
20220321 06:20:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 06:20:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73
20220321 06:20:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82
20220321 06:20:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62
20220321 06:20:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63
